 O(cm-3)O2 (cm-3)N2(cm-3)Temperature (K)
   7.02813553E+10   3.66484152E+10   2.21243785E+11   368.529205    
   6.50623222E+10   3.20438538E+10   1.96503306E+11   381.798248    
   6.04533228E+10   2.81704079E+10   1.75464972E+11   394.594116    
   5.63508920E+10   2.48861389E+10   1.57433872E+11   406.944611    
   5.26573486E+10   2.20807107E+10   1.41856522E+11   418.918427    
   4.93088481E+10   1.96667679E+10   1.28294289E+11   430.611359    
   4.62611988E+10   1.75778570E+10   1.16419699E+11   442.057953    
   4.34800558E+10   1.57617644E+10   1.05975251E+11   453.263489    
   4.09358664E+10   1.41760031E+10   9.67496335E+10   464.233154    
   3.86030551E+10   1.27857551E+10   8.85682422E+10   474.971924    
   3.64594094E+10   1.15623096E+10   8.12858900E+10   485.484802    
   3.44855511E+10   1.04818432E+10   7.47811308E+10   495.776550    
   3.26644347E+10   9.52448307E+09   6.89511629E+10   505.851898    
   3.09811384E+10   8.67355853E+09   6.37096509E+10   515.715515    
   2.94224773E+10   7.91501670E+09   5.89835018E+10   525.371826    
   2.79767757E+10   7.23695821E+09   5.47103457E+10   534.825256    
   2.66336727E+10   6.62925926E+09   5.08367258E+10   544.080200    
   2.53839462E+10   6.08327373E+09   4.73166316E+10   553.140869    
   2.42193654E+10   5.59158579E+09   4.41103073E+10   562.011353    
   2.31325716E+10   5.14781184E+09   4.11832852E+10   570.695679    
   2.21169644E+10   4.74643712E+09   3.85055703E+10   579.197937    
   2.11666125E+10   4.38268262E+09   3.60509768E+10   587.521851    
   2.02760212E+10   4.05239091E+09   3.37965670E+10   595.671265    
   1.94383278E+10   3.75193626E+09   3.17222011E+10   603.649963    
   1.86488668E+10   3.47814682E+09   2.98101330E+10   611.461487    
   1.79040748E+10   3.22824038E+09   2.80446833E+10   619.109375    
   1.72006994E+10   2.99981030E+09   2.64119726E+10   626.597168    
   1.65357742E+10   2.79073178E+09   2.48996721E+10   633.928223    
   1.59065897E+10   2.59907994E+09   2.34968146E+10   641.105957    
   1.53106647E+10   2.42314957E+09   2.21936128E+10   648.133484    
   1.47457270E+10   2.26142822E+09   2.09813217E+10   655.014038    
   1.42096896E+10   2.11257050E+09   1.98521037E+10   661.750793    
   1.37006367E+10   1.97537766E+09   1.87989238E+10   668.346741    
   1.32168049E+10   1.84877939E+09   1.78154557E+10   674.804871    
   1.27565732E+10   1.73181798E+09   1.68959990E+10   681.128174    
   1.23184425E+10   1.62363558E+09   1.60354068E+10   687.319397    
   1.19010314E+10   1.52346138E+09   1.52290263E+10   693.381348    
   1.15030651E+10   1.43060288E+09   1.44726395E+10   699.316895    
   1.11233618E+10   1.34443571E+09   1.37624248E+10   705.128540    
   1.07608269E+10   1.26439680E+09   1.30949048E+10   710.819031    
   1.04144476E+10   1.18997760E+09   1.24669184E+10   716.390869    
   1.00832829E+10   1.12071770E+09   1.18755809E+10   721.846619    
   9.76645837E+09   1.05619987E+09   1.13182628E+10   727.188660    
   9.46316288E+09   996045568.       1.07925586E+10   732.419434    
   9.17263974E+09   939910976.       1.02962678E+10   737.541260    
   8.89418445E+09   887483200.       9.82737306E+09   742.556519    
   8.62714061E+09   838477120.       9.38402509E+09   747.467407    
   8.37089638E+09   792632960.       8.96452096E+09   752.276062    
   8.12487885E+09   749713344.       8.56729754E+09   756.984802    
   7.88855347E+09   709501312.       8.19091507E+09   761.595581    
   7.66141901E+09   671798464.       7.83404390E+09   766.110535    
   7.44300800E+09   636422848.       7.49545779E+09   770.531677    
   7.23288115E+09   603207680.       7.17402419E+09   774.860962    
   7.03062733E+09   572000000.       6.86869402E+09   779.100342    
   6.83585894E+09   542659008.       6.57849600E+09   783.251709    
   6.64821402E+09   515055360.       6.30252954E+09   787.316956    
   6.46735155E+09   489069920.       6.03995904E+09   791.297852    
   6.29295053E+09   464592928.       5.79000678E+09   795.196167    
   6.12470938E+09   441523136.       5.55195187E+09   799.013611    
   5.96234291E+09   419767040.       5.32512000E+09   802.751953    
   5.80558387E+09   399238304.       5.10888550E+09   806.412842    
   5.65417882E+09   379857024.       4.90266317E+09   809.997864    
   5.50788915E+09   361549280.       4.70590720E+09   813.508667    
   5.36649011E+09   344246624.       4.51810714E+09   816.946777    
   5.22976819E+09   327885568.       4.33878579E+09   820.313721    
   5.09752166E+09   312407232.       4.16749594E+09   823.611023    
   4.96956058E+09   297756896.       4.00381875E+09   826.840088    
   4.84570419E+09   283883776.       3.84736179E+09   830.002380    
   4.72578150E+09   270740672.       3.69775590E+09   833.099304    
   4.60963072E+09   258283552.       3.55465472E+09   836.132202    
   4.49709773E+09   246471536.       3.41773286E+09   839.102478    
   4.38803661E+09   235266464.       3.28668390E+09   842.011414    
   4.28230938E+09   224632752.       3.16121907E+09   844.860291    
   4.17978419E+09   214537216.       3.04106650E+09   847.650330    
   4.08033587E+09   204948864.       2.92597018E+09   850.382751    
   3.98384538E+09   195838752.       2.81568819E+09   853.058899    
   3.89019981E+09   187179808.       2.70999168E+09   855.679810    
   3.79929139E+09   178946688.       2.60866534E+09   858.246704    
   3.71101722E+09   171115712.       2.51150515E+09   860.760681    
   3.62527949E+09   163664640.       2.41831782E+09   863.222839    
